Date,3/12/2020,,,,,,,,,,,,,,,,,,,,,,,
Time,6:38:17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,52.749,52.006,51.428,52.213,52.275,52.295,51.965,51.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,52.006,51.119,51.325,51.387,51.449,52.068,51.717,50.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,53.059,51.655,50.582,51.882,51.738,51.862,51.697,51.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,52.006,51.779,51.139,52.11,52.213,52.378,52.048,51.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,53.327,52.171,51.841,52.048,52.295,51.408,51.965,51.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,52.688,52.46,51.139,52.006,52.213,52.502,52.089,52.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,53.41,51.779,51.139,53.513,52.13,52.564,51.428,51.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,52.006,50.706,50.933,52.584,52.357,51.759,52.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,52.337,0,52.502,51.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,52.11,0,53.555,52.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,52.11,0,52.481,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,52.46,0,51.511,51.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
